1,106code,分割文件！1,2023-8-9,181,9979.81,asdfghjkl
2,194code,分割文件！2,2023-8-9,124,9323.19,asdfghjkl
3,143code,分割文件！3,2023-8-9,132,868.25,asdfghjkl
4,165code,分割文件！4,2023-8-9,126,3505.18,asdfghjkl
5,172code,分割文件！5,2023-8-9,105,4027.85,asdfghjkl
6,150code,分割文件！6,2023-8-9,171,8673.01,asdfghjkl
7,145code,分割文件！7,2023-8-9,189,4486.45,asdfghjkl
8,170code,分割文件！8,2023-8-9,198,2953.57,asdfghjkl
9,165code,分割文件！9,2023-8-9,164,9171.98,asdfghjkl
10,113code,分割文件！10,2023-8-9,175,7476.71,asdfghjkl
11,112code,分割文件！11,2023-8-9,170,3629.17,asdfghjkl
12,124code,分割文件！12,2023-8-9,167,3131.67,asdfghjkl
13,186code,分割文件！13,2023-8-9,179,16.95,asdfghjkl
14,163code,分割文件！14,2023-8-9,180,4582.15,asdfghjkl
15,109code,分割文件！15,2023-8-9,153,7387.88,asdfghjkl
16,108code,分割文件！16,2023-8-9,104,9733.80,asdfghjkl
17,150code,分割文件！17,2023-8-9,130,3463.85,asdfghjkl
18,178code,分割文件！18,2023-8-9,175,9966.87,asdfghjkl
19,176code,分割文件！19,2023-8-9,116,5647.51,asdfghjkl
20,122code,分割文件！20,2023-8-9,163,8878.37,asdfghjkl
21,199code,分割文件！21,2023-8-9,130,7846.92,asdfghjkl
22,197code,分割文件！22,2023-8-9,173,5022.57,asdfghjkl
23,178code,分割文件！23,2023-8-9,186,8841.32,asdfghjkl
24,195code,分割文件！24,2023-8-9,155,7194.81,asdfghjkl
25,156code,分割文件！25,2023-8-9,103,7378.64,asdfghjkl
26,181code,分割文件！26,2023-8-9,109,9173.14,asdfghjkl
27,155code,分割文件！27,2023-8-9,174,8970.96,asdfghjkl
28,188code,分割文件！28,2023-8-9,193,4513.77,asdfghjkl
29,135code,分割文件！29,2023-8-9,162,9441.99,asdfghjkl
30,143code,分割文件！30,2023-8-9,117,990.42,asdfghjkl
31,107code,分割文件！31,2023-8-9,150,680.79,asdfghjkl
32,160code,分割文件！32,2023-8-9,146,8574.45,asdfghjkl
33,176code,分割文件！33,2023-8-9,143,4769.22,asdfghjkl
34,178code,分割文件！34,2023-8-9,140,4471.63,asdfghjkl
35,176code,分割文件！35,2023-8-9,112,3675.70,asdfghjkl
36,176code,分割文件！36,2023-8-9,126,3663.17,asdfghjkl
37,136code,分割文件！37,2023-8-9,131,3045.90,asdfghjkl
38,117code,分割文件！38,2023-8-9,144,3642.68,asdfghjkl
39,177code,分割文件！39,2023-8-9,195,271.30,asdfghjkl
40,125code,分割文件！40,2023-8-9,157,7597.41,asdfghjkl
41,142code,分割文件！41,2023-8-9,102,8979.52,asdfghjkl
42,194code,分割文件！42,2023-8-9,196,1151.32,asdfghjkl
43,155code,分割文件！43,2023-8-9,141,4365.64,asdfghjkl
44,107code,分割文件！44,2023-8-9,169,3969.08,asdfghjkl
45,195code,分割文件！45,2023-8-9,117,6371.63,asdfghjkl
46,130code,分割文件！46,2023-8-9,163,9014.22,asdfghjkl
47,195code,分割文件！47,2023-8-9,142,621.51,asdfghjkl
48,144code,分割文件！48,2023-8-9,141,9061.43,asdfghjkl
49,125code,分割文件！49,2023-8-9,140,232.53,asdfghjkl
50,111code,分割文件！50,2023-8-9,150,2182.02,asdfghjkl
51,105code,分割文件！51,2023-8-9,167,5148.35,asdfghjkl
52,178code,分割文件！52,2023-8-9,138,5353.29,asdfghjkl
53,143code,分割文件！53,2023-8-9,116,9477.70,asdfghjkl
54,164code,分割文件！54,2023-8-9,129,8086.50,asdfghjkl
55,138code,分割文件！55,2023-8-9,163,1472.88,asdfghjkl
56,127code,分割文件！56,2023-8-9,165,6025.10,asdfghjkl
57,178code,分割文件！57,2023-8-9,100,5244.87,asdfghjkl
58,150code,分割文件！58,2023-8-9,102,7833.77,asdfghjkl
59,102code,分割文件！59,2023-8-9,152,8087.50,asdfghjkl
60,135code,分割文件！60,2023-8-9,190,7380.43,asdfghjkl
61,170code,分割文件！61,2023-8-9,127,2370.99,asdfghjkl
62,102code,分割文件！62,2023-8-9,191,7207.77,asdfghjkl
63,185code,分割文件！63,2023-8-9,130,6365.45,asdfghjkl
64,139code,分割文件！64,2023-8-9,189,8597.27,asdfghjkl
65,120code,分割文件！65,2023-8-9,100,4067.92,asdfghjkl
66,196code,分割文件！66,2023-8-9,171,8147.87,asdfghjkl
67,189code,分割文件！67,2023-8-9,102,131.91,asdfghjkl
68,180code,分割文件！68,2023-8-9,153,723.14,asdfghjkl
69,100code,分割文件！69,2023-8-9,148,2336.17,asdfghjkl
70,160code,分割文件！70,2023-8-9,188,3864.90,asdfghjkl
71,137code,分割文件！71,2023-8-9,107,680.06,asdfghjkl
72,153code,分割文件！72,2023-8-9,118,9327.93,asdfghjkl
73,155code,分割文件！73,2023-8-9,198,9155.50,asdfghjkl
74,143code,分割文件！74,2023-8-9,145,3259.45,asdfghjkl
75,123code,分割文件！75,2023-8-9,179,3521.07,asdfghjkl
76,179code,分割文件！76,2023-8-9,181,7728.76,asdfghjkl
77,130code,分割文件！77,2023-8-9,105,5991.64,asdfghjkl
